episode_seed,reward,episode_length,crashed,mean_speed
4000,22.072785957233375,30,0,22.200994042536234
4001,24.054183809206556,30,0,24.165697803554394
4002,24.14582999276487,30,0,24.305825688159022
4003,16.579809440582213,23,1,22.675031039383047
4004,24.06057690156585,30,0,24.20084207103504
4005,22.551716779086142,30,0,22.534351668408476
4006,24.491593601808514,30,0,24.534317367607454
4007,21.527302781999737,30,0,21.367680851038134
4008,21.286889701367567,30,0,21.00587029597079
4009,2.9592167598122607,4,1,25.753107753435103
4010,22.511236724179405,30,0,22.300156258453075
4011,23.731423966015132,30,0,23.70101733398343
4012,21.715226805756426,30,0,21.53435166840848
4013,23.26100399799289,30,0,23.13232085996502
4014,23.546747250766227,30,0,23.67253695836451
4015,23.06318187341089,30,0,23.201018335050218
4016,22.030361311187487,30,0,22.03435166426321
4017,23.55626663830645,30,0,23.69987289140742
4018,24.578420359668396,30,0,24.965654043688122
4019,21.52465694994672,30,0,21.505870295849753
4020,20.742484201394632,30,0,20.534351668408476
4021,22.471742956506866,30,0,22.367684997352093
4022,21.396442773864155,30,0,21.201017362630754
4023,22.68230884559392,30,0,22.86768500172001
4024,5.652862469199852,8,1,23.55435208237463
4025,22.78988133035225,30,0,22.860835859504334
4026,23.427584990900503,30,0,23.36768500172415
4027,21.83590435733237,30,0,21.534351668408476
4028,21.64111117469161,26,1,26.358681546797932
4029,13.430527319259655,18,1,23.797822396058347
