episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,10,7.364743,10,0.966602,1,25.020657
2,33,16.388905,23,0.88125,1,22.177868
3,46,11.757441,13,0.833008,1,28.468119
4,53,5.519315,7,0.807031,1,27.138579
5,60,4.523755,7,0.781055,1,21.517269
6,65,3.364569,5,0.7625,1,23.22102
7,82,13.698714,17,0.699414,1,25.491798
8,87,3.954021,5,0.680859,1,26.415562
9,107,14.152289,20,0.606641,1,22.189987
10,111,2.522727,4,0.591797,1,25.0
11,118,5.360786,7,0.56582,1,25.727316
12,132,11.6397,14,0.513867,1,26.33625
13,141,7.558368,9,0.480469,1,27.111951
14,153,10.758298,12,0.435937,1,28.539856
15,162,7.209126,9,0.402539,1,26.121405
16,175,11.402696,13,0.354297,1,27.337589
17,190,14.052264,15,0.298633,1,29.557371
18,194,2.959217,4,0.283789,1,26.560797
19,204,8.959012,10,0.24668,1,28.213511
20,221,12.648228,17,0.183594,1,23.118357
21,225,2.959217,4,0.16875,1,26.004
22,236,9.959012,11,0.12793,1,28.547073
23,238,1.124008,2,0.120508,1,27.558956
24,240,0.966017,2,0.113086,1,23.72446
