episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,6,4.196502,6,0.999941,1,23.912971
2,21,10.815258,15,0.999762,1,22.959267
3,27,4.08353,6,0.999691,1,24.202463
4,36,6.008124,9,0.999584,1,21.589383
5,48,10.75222,12,0.999442,1,28.539856
6,71,17.506852,23,0.999169,1,23.841764
7,76,3.050018,5,0.999109,1,23.355984
8,99,15.717085,23,0.998836,1,21.133243
9,102,1.764923,3,0.998801,1,24.593588
10,132,26.438316,30,0.998444,0,26.79998
11,147,11.16882,15,0.998266,1,23.408322
12,159,7.906892,12,0.998124,1,21.283295
13,178,13.261536,19,0.997898,1,22.18539
14,181,1.764923,3,0.997862,1,23.734909
15,194,9.919533,13,0.997708,1,25.384606
16,219,19.184342,25,0.997411,1,23.937443
17,222,1.958373,3,0.997376,1,24.021175
18,226,2.884069,4,0.997328,1,27.285324
19,238,8.407479,12,0.997186,1,22.786335
20,245,4.71327,7,0.997103,1,23.814922
21,273,19.715773,28,0.99677,1,21.431871
22,279,3.526191,6,0.996699,1,19.728318
23,286,5.004689,7,0.996616,1,24.200194
24,298,8.383534,12,0.996473,1,22.182245
25,313,10.270744,15,0.996295,1,21.895637
26,315,1.278391,2,0.996271,1,29.499772
27,325,8.158641,10,0.996152,1,26.879755
28,340,12.321347,15,0.995974,1,26.473775
29,361,14.317458,21,0.995725,1,21.004201
30,370,7.601076,9,0.995618,1,27.049405
31,386,10.809844,16,0.995428,1,21.205503
32,392,4.001228,6,0.995357,1,23.535878
33,412,17.408365,20,0.995119,1,27.373627
34,422,6.418699,10,0.995001,1,20.838587
35,435,9.523965,13,0.994846,1,23.652107
36,438,1.788291,3,0.994811,1,25.577705
37,447,6.804566,9,0.994704,1,24.977551
38,476,22.019986,29,0.994359,1,23.506612
39,481,3.957206,5,0.9943,1,26.803499
40,488,4.090909,7,0.994217,1,18.935308
41,495,4.502102,7,0.994134,1,22.667087
42,502,5.003441,7,0.994051,1,23.934334
43,509,5.160261,7,0.993968,1,25.353322
44,522,10.360496,13,0.993813,1,26.176273
45,552,24.075135,30,0.993457,0,24.367684
46,569,12.324796,17,0.993255,1,23.076846
47,575,4.394379,6,0.993184,1,24.905702
48,580,3.560252,5,0.993124,1,26.043013
49,594,10.137145,14,0.992958,1,23.496737
50,604,8.754343,10,0.992839,1,27.538858
51,611,4.412832,7,0.992756,1,21.456744
52,641,20.847788,30,0.9924,0,20.701018
53,648,4.287571,7,0.992317,1,21.682909
54,651,1.600054,3,0.992281,1,21.145344
55,667,11.652742,16,0.992091,1,22.575238
56,680,9.450174,13,0.991937,1,23.579151
57,702,18.735079,22,0.991676,1,26.593167
58,705,2.275553,3,0.99164,1,29.658198
59,717,10.561808,12,0.991498,1,27.807431
60,742,17.944115,25,0.991201,1,22.192963
61,760,14.686847,18,0.990987,1,25.621494
62,784,21.632286,24,0.990702,1,27.863176
63,814,22.306126,30,0.990346,0,22.666668
64,821,5.765957,7,0.990263,1,27.150127
65,851,20.854743,30,0.989906,1,21.374579
66,859,6.595438,8,0.989811,1,26.276585
67,868,7.848288,9,0.989704,1,28.706729
68,898,20.625333,30,0.989348,0,20.339179
69,906,5.95894,8,0.989253,1,23.973682
70,919,9.334659,13,0.989099,1,23.084869
71,949,22.156442,30,0.988742,1,22.847329
72,959,8.591584,10,0.988624,1,27.545336
73,972,8.850466,13,0.988469,1,21.802752
74,982,8.760178,10,0.988351,1,27.801428
75,1012,23.782316,30,0.987994,0,23.965648
76,1017,4.123409,5,0.987935,1,29.020572
77,1026,6.613726,9,0.987828,1,24.581953
78,1030,2.566059,4,0.987781,1,24.051182
79,1044,11.477168,14,0.987614,1,25.929613
80,1047,1.960209,3,0.987579,1,24.669085
81,1062,12.607715,15,0.987401,1,26.776014
82,1071,5.866609,9,0.987294,1,21.230366
83,1087,13.96074,16,0.987104,1,27.276743
84,1089,1.121128,2,0.98708,1,27.558956
85,1119,22.353577,30,0.986724,1,23.197452
86,1127,6.367545,8,0.986629,1,26.400615
87,1139,8.622521,12,0.986486,1,23.250455
88,1169,23.239682,30,0.98613,0,23.804857
89,1177,5.990249,8,0.986035,1,25.841782
90,1186,7.983638,9,0.985928,1,29.08161
91,1198,9.996333,12,0.985786,1,26.462567
92,1206,6.955576,8,0.985691,1,28.002225
93,1228,15.782086,22,0.985429,1,22.727313
94,1242,10.909347,14,0.985263,1,25.600127
95,1249,5.959013,7,0.98518,1,27.198378
96,1254,3.20231,5,0.985121,1,22.314867
97,1262,5.452439,8,0.985026,1,23.621358
98,1281,14.649245,19,0.9848,1,23.747596
99,1285,2.281872,4,0.984753,1,20.646692
100,1294,7.951613,9,0.984646,1,28.008693
101,1310,12.080566,16,0.984456,1,24.705359
102,1323,9.770998,13,0.984301,1,24.906213
103,1335,8.175084,12,0.984159,1,22.101231
104,1362,20.83097,27,0.983838,1,24.413908
105,1371,7.921683,9,0.983731,1,28.90035
106,1376,3.957206,5,0.983672,1,26.240765
107,1383,5.199495,7,0.983589,1,24.648864
108,1392,6.885171,9,0.983482,1,24.578194
109,1397,3.565067,5,0.983422,1,24.058336
110,1402,3.591381,5,0.983363,1,24.520045
111,1414,8.070251,12,0.983221,1,21.947404
112,1444,24.745852,30,0.982864,0,24.798982
113,1448,2.599059,4,0.982817,1,25.039578
114,1478,21.857142,30,0.982461,0,22.029485
115,1487,7.189243,9,0.982354,1,25.942933
116,1491,2.599059,4,0.982306,1,23.360793
117,1505,9.707772,14,0.98214,1,22.385302
118,1530,17.869968,25,0.981843,1,22.335435
119,1539,7.392024,9,0.981736,1,27.414178
120,1569,21.696832,30,0.98138,0,21.867661
121,1599,21.521808,30,0.981024,0,21.534352
122,1606,5.56132,7,0.980941,1,26.441777
123,1614,5.371854,8,0.980846,1,23.018837
124,1642,20.59441,28,0.980513,1,22.68188
125,1662,15.698842,20,0.980276,1,25.010241
126,1667,3.556558,5,0.980216,1,25.016815
127,1670,1.764923,3,0.980181,1,23.347427
128,1675,3.049181,5,0.980121,1,21.184381
129,1702,18.799256,27,0.979801,1,21.337555
130,1712,8.157318,10,0.979682,1,27.021677
131,1723,6.903517,11,0.979551,1,19.853239
132,1732,6.882077,9,0.979444,1,24.569425
133,1747,10.838822,15,0.979266,1,23.224052
134,1751,2.599059,4,0.979219,1,23.137261
135,1770,13.975587,19,0.978993,1,23.366888
136,1796,18.869353,26,0.978684,1,22.158566
137,1803,5.082369,7,0.978601,1,24.1451
138,1809,4.001601,6,0.97853,1,23.29962
139,1823,10.050291,14,0.978364,1,22.938072
140,1830,4.406053,7,0.978281,1,22.396888
141,1849,15.221143,19,0.978055,1,25.472573
142,1857,5.839622,8,0.97796,1,23.258112
143,1864,5.792279,7,0.977877,1,26.926633
144,1869,3.758123,5,0.977818,1,27.043304
145,1878,7.205447,9,0.977711,1,25.641807
146,1895,11.462445,17,0.977509,1,21.332731
147,1903,5.841497,8,0.977414,1,24.185616
148,1910,5.985716,7,0.977331,1,28.819212
149,1915,2.812777,5,0.977271,1,19.677175
150,1920,3.761176,5,0.977212,1,25.413122
151,1938,13.694208,18,0.976998,1,23.921985
152,1945,5.756719,7,0.976915,1,27.496892
153,1966,15.852532,21,0.976666,1,23.714892
154,1992,18.318088,26,0.976357,1,22.183678
155,1996,2.878434,4,0.976309,1,27.249886
156,2026,21.495301,30,0.975953,0,21.500808
157,2030,2.566054,4,0.975906,1,23.76057
158,2038,6.587884,8,0.975811,1,27.746195
159,2052,10.309238,14,0.975644,1,23.841523
160,2071,16.553502,19,0.975419,1,27.433913
161,2086,12.717379,15,0.975241,1,27.266683
162,2091,3.40935,5,0.975181,1,23.923973
163,2095,2.594235,4,0.975134,1,23.862087
164,2108,8.857447,13,0.974979,1,21.873548
165,2123,10.452128,15,0.974801,1,22.074947
166,2140,12.211323,17,0.974599,1,22.947375
167,2146,4.756231,6,0.974528,1,26.335702
168,2149,1.598207,3,0.974492,1,23.441975
169,2161,9.948801,12,0.97435,1,26.873189
170,2183,20.446657,22,0.974089,1,29.016389
171,2198,10.626856,15,0.973911,1,22.498486
172,2213,11.366103,15,0.973733,1,23.91387
173,2237,17.587821,24,0.973448,1,22.365807
174,2249,9.202721,12,0.973305,1,24.563987
175,2254,3.75419,5,0.973246,1,25.8032
176,2282,19.413424,28,0.972913,1,21.289467
177,2298,11.693315,16,0.972723,1,23.192065
178,2328,21.976603,30,0.972367,0,22.160997
179,2345,12.131509,17,0.972165,1,22.611524
180,2360,10.33042,15,0.971987,1,21.959716
181,2362,1.124008,2,0.971963,1,27.558956
182,2367,3.601111,5,0.971904,1,23.864658
183,2378,7.130519,11,0.971773,1,20.538316
184,2406,21.581044,28,0.971441,1,24.100165
185,2419,8.777533,13,0.971286,1,21.289475
186,2426,5.359532,7,0.971203,1,25.726326
187,2433,5.363613,7,0.97112,1,25.726301
188,2436,2.077297,3,0.971084,1,27.999848
189,2442,4.392525,6,0.971013,1,24.761665
190,2449,4.800129,7,0.97093,1,22.757792
191,2460,7.445515,11,0.970799,1,21.599289
192,2470,7.362291,10,0.970681,1,24.397547
193,2476,3.726209,6,0.970609,1,21.255009
194,2494,13.773745,18,0.970396,1,23.818388
195,2503,6.677447,9,0.970289,1,24.363728
196,2513,7.606442,10,0.97017,1,24.801238
197,2543,23.542972,30,0.969814,0,23.867684
198,2556,9.759604,13,0.969659,1,24.637285
199,2568,9.101401,12,0.969517,1,24.808117
200,2571,1.600054,3,0.969481,1,20.568092
201,2601,20.573864,30,0.969125,0,20.201018
202,2608,4.176413,7,0.969042,1,19.438792
203,2614,3.891078,6,0.968971,1,22.699692
204,2619,3.555801,5,0.968911,1,25.016815
205,2628,5.884237,9,0.968804,1,22.25844
206,2633,3.400196,5,0.968745,1,24.541518
207,2639,4.363618,6,0.968674,1,24.192981
208,2642,1.602273,3,0.968638,1,21.465249
209,2645,1.600054,3,0.968603,1,23.441975
210,2652,5.562448,7,0.968519,1,26.143194
211,2660,6.155241,8,0.968424,1,25.150178
212,2662,0.966017,2,0.968401,1,25.103286
213,2667,3.217116,5,0.968341,1,23.007028
214,2697,22.594607,30,0.967985,0,22.96668
215,2704,5.957172,7,0.967902,1,27.314901
216,2712,6.080599,8,0.967807,1,25.309762
217,2740,20.825984,28,0.967474,1,23.130094
218,2768,20.597036,28,0.967142,1,22.782187
219,2777,7.161363,9,0.967035,1,25.890468
220,2787,8.401119,10,0.966916,1,27.009269
221,2790,1.764923,3,0.966881,1,23.347427
222,2793,1.600054,3,0.966845,1,22.990288
223,2805,7.5,12,0.966703,1,19.201674
224,2808,1.958373,3,0.966667,1,25.412525
225,2812,2.761346,4,0.966619,1,25.949246
226,2822,6.335215,10,0.966501,1,20.107303
227,2829,4.442926,7,0.966418,1,20.86637
228,2855,17.362626,26,0.966109,1,20.208465
229,2861,3.662753,6,0.966037,1,22.233865
230,2881,18.071881,20,0.9658,1,28.448474
231,2885,2.792487,4,0.965753,1,25.113126
232,2897,7.874223,12,0.96561,1,21.681282
233,2901,2.652931,4,0.965562,1,25.832526
234,2905,2.957377,4,0.965515,1,26.272804
235,2915,7.954738,10,0.965396,1,25.707781
236,2926,7.573757,11,0.965266,1,22.584334
237,2931,3.214067,5,0.965206,1,22.917403
238,2961,20.850022,30,0.96485,0,20.701018
239,2967,4.601082,6,0.964779,1,25.286132
240,2990,17.738698,23,0.964506,1,24.279765
241,3004,9.696554,14,0.964339,1,21.92783
242,3007,1.958373,3,0.964304,1,24.334
243,3034,21.968152,27,0.963983,1,25.558979
244,3038,2.568289,4,0.963936,1,23.76057
245,3048,6.375,10,0.963817,1,20.896284
246,3065,12.523084,17,0.963615,1,23.529421
247,3087,15.1026,22,0.963354,1,21.520581
248,3091,2.650894,4,0.963306,1,25.84191
249,3111,15.134294,20,0.963069,1,23.999958
250,3125,9.772775,14,0.962902,1,22.515358
251,3135,6.453518,10,0.962784,1,20.920332
252,3138,1.600037,3,0.962748,1,21.145344
253,3151,9.893782,13,0.962594,1,24.617994
254,3181,27.038867,30,0.962237,0,27.300156
255,3188,5.19366,7,0.962154,1,25.388012
256,3210,17.934756,22,0.961893,1,25.54901
257,3223,10.166366,13,0.961739,1,25.007126
258,3230,5.756074,7,0.961656,1,27.538013
259,3242,9.255662,12,0.961513,1,25.125793
260,3254,9.200872,12,0.961371,1,25.582687
261,3261,4.64869,7,0.961287,1,23.178556
262,3276,11.212254,15,0.961109,1,23.35817
263,3280,2.399329,4,0.961062,1,22.109008
264,3294,10.485283,14,0.960896,1,24.296187
265,3311,11.343362,17,0.960694,1,20.790268
266,3323,10.002733,12,0.960551,1,26.67439
267,3328,2.925065,5,0.960492,1,22.356058
268,3337,7.15583,9,0.960385,1,26.120457
269,3361,18.987008,24,0.9601,1,25.157529
270,3368,5.754496,7,0.960017,1,27.496892
271,3372,2.761346,4,0.959969,1,24.751814
272,3379,5.978273,7,0.959886,1,28.819212
273,3381,1.121128,2,0.959862,1,27.558956
274,3399,14.24931,18,0.959649,1,25.211128
275,3429,21.893842,30,0.959292,0,22.138352
276,3435,3.850318,6,0.959221,1,23.621071
277,3455,14.265636,20,0.958984,1,22.231088
278,3460,3.369426,5,0.958924,1,24.008456
279,3466,4.391752,6,0.958853,1,25.075418
280,3473,5.085029,7,0.95877,1,23.832861
281,3479,4.398179,6,0.958699,1,24.740732
282,3482,1.927565,3,0.958663,1,26.726256
283,3494,8.563821,12,0.958521,1,22.459393
284,3522,21.621669,28,0.958188,1,24.433953
285,3533,9.752511,11,0.958058,1,28.407113
286,3539,3.893273,6,0.957986,1,22.699692
287,3561,16.224456,22,0.957725,1,22.959218
288,3568,4.848358,7,0.957642,1,24.761905
289,3575,5.197168,7,0.957559,1,25.998892
290,3579,2.957371,4,0.957511,1,25.043474
291,3586,5.007427,7,0.957428,1,25.030718
292,3598,10.383611,12,0.957286,1,27.231492
293,3610,8.969862,12,0.957143,1,24.683727
294,3618,5.802347,8,0.957048,1,24.299472
295,3625,4.34031,7,0.956965,1,21.908015
296,3637,9.395059,12,0.956823,1,25.747686
297,3667,21.379114,30,0.956466,0,21.501003
298,3683,13.209082,16,0.956276,1,26.576033
299,3690,5.158853,7,0.956193,1,24.338479
300,3709,16.801887,19,0.955967,1,27.477802
301,3713,2.566054,4,0.95592,1,23.76057
302,3723,7.996308,10,0.955801,1,25.708295
303,3726,1.454778,3,0.955766,1,19.464746
304,3756,26.877585,30,0.955409,0,27.033177
305,3772,11.370981,16,0.955219,1,23.042865
306,3776,2.136597,4,0.955172,1,20.571304
307,3789,8.469734,13,0.955017,1,21.179462
308,3799,7.905585,10,0.954899,1,26.336194
309,3820,17.395045,21,0.954649,1,25.494698
310,3845,23.19308,25,0.954353,1,28.758844
311,3849,2.403409,4,0.954305,1,22.109008
312,3856,5.560598,7,0.954222,1,26.440617
313,3861,3.957198,5,0.954163,1,26.580246
314,3886,17.03322,25,0.953866,1,21.41332
315,3912,20.850491,26,0.953557,1,25.00157
316,3918,4.363618,6,0.953486,1,25.014012
317,3932,11.763991,14,0.953319,1,26.874594
318,3943,8.487839,11,0.953189,1,24.726336
319,3950,5.359127,7,0.953106,1,25.726326
320,3963,10.807311,13,0.952951,1,26.183743
321,3993,20.625192,30,0.952595,0,20.367661
322,4003,8.070714,10,0.952476,1,25.613507
323,4008,3.364988,5,0.952417,1,23.588191
324,4019,8.768588,11,0.952286,1,25.479857
325,4023,2.397471,4,0.952239,1,23.421461
326,4030,5.36856,7,0.952156,1,26.445712
327,4048,15.567817,18,0.951942,1,27.50571
328,4053,3.199682,5,0.951882,1,22.039145
329,4059,3.878845,6,0.951811,1,21.97163
330,4071,9.796634,12,0.951669,1,26.830797
331,4078,5.9535,7,0.951586,1,27.870383
332,4088,8.184287,10,0.951467,1,27.173445
333,4101,9.131712,13,0.951313,1,22.997846
334,4106,3.957201,5,0.951253,1,27.018487
335,4114,6.161527,8,0.951158,1,26.277065
336,4144,22.833513,30,0.950802,0,22.701018
337,4151,4.886338,7,0.950719,1,23.151872
338,4167,10.663593,16,0.950529,1,21.185679
339,4176,5.739865,9,0.950422,1,20.831146
340,4183,6.048817,7,0.950339,1,29.051509
341,4189,4.165699,6,0.950268,1,23.992679
342,4193,2.794337,4,0.95022,1,24.621241
343,4199,3.88192,6,0.950149,1,23.393379
344,4210,8.084561,11,0.950018,1,24.098548
345,4219,7.392218,9,0.949911,1,26.082976
346,4225,4.585208,6,0.94984,1,26.95571
347,4243,14.64876,18,0.949626,1,25.744125
348,4273,22.91789,30,0.94927,0,22.798982
349,4277,2.794337,4,0.949222,1,24.621241
