episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,9,6.458237,9,0.999905,1,24.32997
2,19,7.588398,10,0.999786,1,25.673312
3,23,2.403409,4,0.999739,1,24.194444
4,33,8.560597,10,0.99962,1,27.623777
5,49,10.859243,16,0.99943,1,21.237788
6,53,2.563432,4,0.999382,1,24.695191
7,60,5.404071,7,0.999299,1,25.055431
8,67,5.959013,7,0.999216,1,28.034906
9,78,8.332213,11,0.999086,1,24.398827
10,83,3.591381,5,0.999026,1,25.543217
11,101,16.159472,18,0.998812,1,28.060705
12,113,7.93204,12,0.99867,1,21.475487
13,132,14.493971,19,0.998444,1,24.115828
14,136,2.397471,4,0.998397,1,22.606004
15,143,5.959013,7,0.998314,1,27.57351
16,153,8.008586,10,0.998195,1,26.009146
17,173,14.664585,20,0.997958,1,23.009786
18,203,23.734098,30,0.997601,1,24.347439
19,218,10.292487,15,0.997423,1,21.118625
20,248,25.849085,30,0.997067,0,26.29901
21,256,5.448694,8,0.996972,1,22.097607
22,266,8.44432,10,0.996853,1,27.696945
23,283,12.658483,17,0.996651,1,23.787927
24,293,7.961806,10,0.996533,1,25.618745
25,298,3.480926,5,0.996473,1,25.829112
26,302,2.761346,4,0.996426,1,24.751814
27,315,11.356496,13,0.996271,1,27.321323
28,343,21.214454,28,0.995939,1,23.871507
29,350,5.390758,7,0.995856,1,25.498027
30,354,2.761346,4,0.995808,1,25.618313
31,357,1.600054,3,0.995772,1,20.307997
32,387,21.575328,30,0.995416,0,21.638215
33,392,3.367196,5,0.995357,1,24.240945
34,401,5.77169,9,0.99525,1,21.667238
35,406,3.959047,5,0.995191,1,27.760046
36,436,21.952549,30,0.994834,0,22.033353
37,446,6.81139,10,0.994716,1,22.338588
38,471,19.77857,25,0.994419,1,24.442512
39,478,4.526358,7,0.994336,1,23.111172
40,508,23.401909,30,0.993979,0,23.867685
41,538,21.012709,30,0.993623,0,20.867685
42,557,15.171877,19,0.993398,1,24.81199
43,569,8.33277,12,0.993255,1,22.175384
44,599,22.478489,30,0.992899,0,22.700187
45,629,22.242299,30,0.992542,0,22.201018
46,659,25.337834,30,0.992186,0,25.799985
47,666,4.329545,7,0.992103,1,19.967167
48,679,9.728311,13,0.991949,1,23.941858
49,687,6.756462,8,0.991854,1,27.511585
