episode_seed,reward,episode_length,crashed,mean_speed
4000,15.486394866932395,20,1,25.207277941343467
4001,4.7952691560654905,7,1,22.78800140240106
4002,25.96258643525458,30,1,27.08260894027912
4003,18.358754166396903,22,1,26.367849407890677
4004,24.016148221252006,30,0,25.0
4005,6.401572293559597,9,1,23.355080533746914
4006,20.454545454545464,30,0,20.03435166840848
4007,20.454545454545464,30,0,20.03435166840848
4008,20.571645133062454,30,0,20.201018335075148
4009,3.196737382890211,5,1,24.065185185185186
4010,20.571645133062454,30,0,20.201018335075148
4011,20.806562303872322,30,0,20.53435166840848
4012,20.454545454545464,30,0,20.03435166840848
4013,7.324682108209097,10,1,25.0
4014,10.579652907886844,14,1,24.364649823120775
4015,20.571645133062454,30,0,20.201018335075148
4016,6.395656518632559,9,1,23.936001690799166
4017,15.678779033657898,19,1,26.524709242778577
4018,19.360189606379073,23,1,26.52576900658514
4019,11.375925925186852,15,1,24.529397102623214
4020,20.688338093616082,30,0,20.367685001741812
4021,20.454545454545464,30,0,20.03435166840848
4022,6.409090909090907,9,1,24.46187337619189
4023,5.72240938093637,8,1,25.0
4024,20.454545454545464,30,0,20.03435166840848
4025,7.95986564017861,10,1,26.52167667170835
4026,26.94472503136263,30,0,27.46564833159163
4027,20.454545454545464,30,0,20.03435166840848
4028,20.454545454545464,30,0,20.03435166840848
4029,11.461648906202155,15,1,25.224509369762767
4030,16.999194569371433,20,1,27.098472502237712
4031,27.759604136032404,30,0,28.132314998258188
4032,18.71681232683195,23,1,26.091425920987504
4033,20.454545454545464,30,0,20.03435166840848
4034,20.571645133062454,30,0,20.201018335075148
4035,26.362666239159466,30,1,27.33642290627058
4036,20.571645133062454,30,0,20.201018335075148
4037,11.208410266581572,15,1,24.785185185185185
4038,15.768424275748561,20,1,25.25456075863678
4039,20.454545454545464,30,0,20.03435166840848
4040,11.560254233557387,14,1,26.219873316555525
4041,20.454545454545464,30,0,20.03435166840848
4042,20.364185446437762,25,1,25.64817221008673
4043,20.571645133062454,30,0,20.201018335075148
4044,20.454545454545464,30,0,20.03435166840848
4045,20.454545454545464,30,0,20.03435166840848
4046,20.690946261312185,30,0,20.367685001741812
4047,20.80500117567249,30,0,20.53435166840848
4048,20.593953607246647,24,1,27.155603624364733
4049,20.80583378132725,30,0,20.53435166840848
