episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,10,7.364743,10,0.966602,1,25.020657
2,33,16.388905,23,0.88125,1,22.177868
3,46,11.757441,13,0.833008,1,28.468119
4,53,5.519315,7,0.807031,1,27.138579
5,68,12.718396,15,0.751367,1,26.931482
6,81,11.127724,13,0.703125,1,27.613035
7,91,8.788313,10,0.666016,1,27.848644
8,104,9.059688,13,0.617773,1,23.20971
9,109,4.12156,5,0.599219,1,29.020572
10,132,19.84239,23,0.513867,1,27.117478
11,149,15.358726,17,0.450781,1,28.177515
12,153,2.957371,4,0.435937,1,26.272804
13,158,3.216294,5,0.417383,1,23.008212
14,162,2.957377,4,0.402539,1,26.004
15,170,6.406149,8,0.372852,1,26.405539
16,174,2.757291,4,0.358008,1,25.949246
17,189,14.052263,15,0.302344,1,29.557371
18,193,2.759115,4,0.2875,1,24.5005
19,203,8.85525,10,0.250391,1,28.836056
20,231,20.793025,28,0.146484,1,22.681882
21,234,1.987562,3,0.135352,1,27.244751
22,245,8.599376,11,0.094531,1,26.088486
23,254,7.756068,9,0.061133,1,27.916038
