episode_seed,reward,episode_length,crashed,mean_speed
4000,8.972523223780238,12,1,24.683727231181937
4001,16.380663716945495,21,1,24.952726445531972
4002,20.571645133062454,30,0,20.201018335075148
4003,9.606117748105051,13,1,23.917230066240844
4004,14.545588908166918,16,1,28.443292949255394
4005,20.688338093616082,30,0,20.367685001741812
4006,20.571645133062454,30,0,20.201018335075148
4007,22.57213010711527,27,1,26.34238322082173
4008,14.854715013723172,17,1,27.84473888586686
4009,3.204545454545454,5,1,23.79417283950617
4010,7.205363926390915,10,1,23.939574753604635
4011,21.396795322279488,30,0,21.36768500174181
4012,17.624999999999996,23,1,24.859903381642514
4013,7.324682108209097,10,1,25.0
4014,20.571645133062454,30,0,20.201018335075148
4015,3.5584061276900356,5,1,24.237472761516038
4016,6.406855266138054,9,1,23.715114559293696
4017,15.169239516367362,18,1,26.671815942977496
4018,18.59101654425048,24,1,24.629379063487118
4019,20.571645133062454,30,0,20.201018335075148
4020,10.40990938093637,14,1,24.479009994121103
4021,12.818181818181815,17,1,24.31976653139078
4022,9.153891148713589,11,1,26.473118659288023
4023,5.72240938093637,8,1,25.0
4024,20.571645133062454,30,0,20.201018335075148
4025,8.159096027539746,10,1,26.207816554523692
4026,18.1710873442919,23,1,25.271443042181737
4027,26.97038457797385,30,0,27.46564833159163
4028,12.810663202650504,17,1,24.21789858368473
4029,9.957176437409121,12,1,26.5848163090759
4030,11.387985602297235,13,1,28.210345152598844
4031,6.355780052427982,8,1,26.26155445475095
4032,11.211045744572733,15,1,24.293049835736422
4033,20.571645133062454,30,0,20.201018335075148
4034,10.465567387350173,14,1,24.88095238095238
4035,5.600435929923242,8,1,24.246358024691357
4036,5.607954545454544,8,1,24.41574074074074
4037,21.044839072881594,30,0,20.86768500174181
4038,21.362741704964932,26,1,26.056856441442406
4039,20.688338093616082,30,0,20.367685001741812
4040,17.766648872588494,21,1,26.67108034054563
4041,5.603091199118189,8,1,24.088267489711935
4042,20.368798452292815,25,1,25.849773648679584
4043,25.366654296426898,29,1,27.244575420279883
4044,11.215909090909088,15,1,24.229068735576217
4045,9.188947979434483,11,1,27.451769944248863
4046,20.454545454545464,30,0,20.03435166840848
4047,8.85801168749899,12,1,24.86111111111111
4048,20.454545454545464,30,0,20.03435166840848
4049,13.563864660857082,17,1,25.593672684588686
