episode_index,global_step,episode_reward,episode_length,epsilon,crashed,mean_speed
1,20,14.502398,20,0.999774,1,22.873863
2,25,3.598889,5,0.999715,1,24.73336
3,46,14.813106,21,0.999466,1,22.151791
4,59,10.013224,13,0.999311,1,25.003252
5,89,22.289479,30,0.998955,0,22.700847
6,95,3.964806,6,0.998884,1,24.167377
7,100,2.812777,5,0.998824,1,21.066594
8,108,6.155892,8,0.998729,1,26.277065
9,127,12.812729,19,0.998504,1,21.498078
10,132,3.198218,5,0.998444,1,22.508059
11,136,2.403409,4,0.998397,1,24.181615
12,144,6.010461,8,0.998302,1,24.525176
13,159,10.212254,15,0.998124,1,21.569423
14,178,13.699047,19,0.997898,1,22.636367
15,202,16.067706,24,0.997613,1,20.697203
16,222,14.859399,20,0.997376,1,23.127358
17,225,1.958373,3,0.99734,1,24.669085
18,231,3.853761,6,0.997269,1,22.459321
19,255,19.798863,24,0.996984,1,25.939619
20,263,5.227601,8,0.996889,1,21.61627
21,293,21.449365,30,0.996533,0,21.5
22,313,15.379853,20,0.996295,1,24.018303
23,319,3.772987,6,0.996224,1,21.866332
24,326,4.884668,7,0.996141,1,24.113776
25,334,5.447591,8,0.996046,1,22.413009
26,354,13.604397,20,0.995808,1,21.418443
27,367,10.362661,13,0.995654,1,25.469845
28,372,3.673276,5,0.995594,1,26.799909
29,378,4.400026,6,0.995523,1,24.513784
30,405,21.849237,27,0.995202,1,25.373538
31,414,6.682364,9,0.995096,1,24.022379
32,421,5.792283,7,0.995012,1,27.881015
33,430,7.360577,9,0.994906,1,27.088923
34,453,17.333092,23,0.994633,1,23.087396
35,483,21.641046,30,0.994276,0,21.866711
36,487,2.794337,4,0.994229,1,24.858553
37,504,12.065741,17,0.994027,1,22.649531
38,517,10.958945,13,0.993873,1,26.93011
39,534,13.011753,17,0.993671,1,24.35397
40,540,4.853021,6,0.993599,1,28.060099
41,545,3.199682,5,0.99354,1,21.953551
42,575,22.762754,30,0.993184,0,22.966486
43,581,4.564033,6,0.993112,1,25.184652
44,611,23.238817,30,0.992756,0,23.53352
45,641,21.605092,30,0.9924,0,21.534175
46,655,9.699384,14,0.992234,1,22.027562
47,664,6.36422,9,0.992127,1,23.34267
48,671,5.955327,7,0.992044,1,27.168168
49,701,23.548461,30,0.991688,0,23.632315
50,731,23.032257,30,0.991331,0,23.034352
51,753,15.909521,22,0.99107,1,22.777486
52,757,2.564214,4,0.991023,1,22.835446
53,766,5.818272,9,0.990916,1,21.114852
54,777,8.477964,11,0.990785,1,24.648479
55,787,6.136364,10,0.990666,1,19.106279
56,811,18.388905,24,0.990381,1,23.801848
57,821,7.795549,10,0.990263,1,25.348497
58,835,12.350937,14,0.990096,1,27.863763
59,847,8.726682,12,0.989954,1,23.227457
60,852,3.050018,5,0.989894,1,21.338769
61,882,23.793059,30,0.989538,0,23.966681
62,907,19.491938,25,0.989241,1,24.3607
63,922,10.293055,15,0.989063,1,21.728099
64,925,1.600054,3,0.989027,1,22.788081
65,943,12.654144,18,0.988814,1,22.006818
66,951,5.763219,8,0.988719,1,24.402058
67,958,4.409271,7,0.988636,1,21.814914
68,978,13.869463,20,0.988398,1,21.603056
69,998,14.973001,20,0.988161,1,24.005268
70,1001,1.764923,3,0.988125,1,23.734909
71,1007,4.955332,6,0.988054,1,27.515441
72,1026,13.53041,19,0.987828,1,22.158271
73,1039,8.386471,13,0.987674,1,20.782778
74,1069,22.042545,30,0.987317,0,22.199987
75,1073,2.401173,4,0.98727,1,22.109008
76,1076,1.960209,3,0.987234,1,23.385962
77,1082,4.955334,6,0.987163,1,28.163149
78,1084,1.121128,2,0.987139,1,27.558956
79,1087,1.960209,3,0.987104,1,24.021175
80,1101,12.153205,14,0.986938,1,27.588882
81,1123,15.552301,22,0.986676,1,22.126726
82,1137,11.480871,14,0.98651,1,25.929434
83,1152,13.555748,15,0.986332,1,28.200952
84,1161,6.054723,9,0.986225,1,21.992043
85,1191,23.754962,30,0.985869,0,23.998997
86,1197,3.996785,6,0.985797,1,22.419335
87,1201,3.275383,4,0.98575,1,29.742582
88,1213,9.992927,12,0.985607,1,26.540434
89,1217,2.524379,4,0.98556,1,25.047828
90,1230,8.73156,13,0.985406,1,21.570692
91,1260,21.539528,30,0.985049,0,21.534352
92,1265,3.200465,5,0.98499,1,22.340855
93,1284,13.865353,19,0.984764,1,23.684481
94,1294,6.418697,10,0.984646,1,21.533297
95,1314,18.192008,20,0.984408,1,27.976766
96,1323,6.126412,9,0.984301,1,22.603845
97,1328,3.197865,5,0.984242,1,22.340855
98,1347,14.305656,19,0.984016,1,23.689086
99,1368,15.107968,21,0.983767,1,22.828369
100,1395,19.082494,27,0.983446,1,21.975169
101,1404,5.539853,9,0.983339,1,20.441055
102,1434,22.041156,30,0.982983,0,22.304857
103,1444,7.243758,10,0.982864,1,23.509096
104,1457,10.361812,13,0.98271,1,25.082564
105,1472,11.158293,15,0.982532,1,23.565746
106,1477,2.727273,5,0.982472,1,18.509469
107,1490,8.697589,13,0.982318,1,21.168679
108,1497,4.691251,7,0.982235,1,22.862979
109,1502,3.955372,5,0.982176,1,27.24883
110,1507,3.786511,5,0.982116,1,27.346889
111,1510,1.600054,3,0.982081,1,21.59924
112,1527,14.605835,17,0.981879,1,27.204604
113,1541,11.133938,14,0.981712,1,25.079699
114,1546,3.560645,5,0.981653,1,24.412705
115,1559,9.481882,13,0.981499,1,23.344997
116,1563,2.164773,4,0.981451,1,20.661983
117,1593,22.588404,30,0.981095,1,23.65
118,1604,8.206999,11,0.980964,1,24.491033
119,1608,2.957377,4,0.980917,1,27.244713
120,1620,9.327105,12,0.980774,1,25.843159
121,1650,22.048578,30,0.980418,0,22.201018
122,1658,5.407036,8,0.980323,1,22.298239
123,1677,17.116988,19,0.980097,1,28.426466
124,1698,14.355681,21,0.979848,1,21.101955
125,1722,21.51563,24,0.979563,1,28.129301
126,1736,10.80053,14,0.979397,1,24.95684
127,1746,7.806985,10,0.979278,1,26.021677
128,1757,7.220233,11,0.979147,1,21.297293
129,1762,3.560645,5,0.979088,1,24.282636
130,1791,19.935328,29,0.978744,1,21.266382
131,1796,3.959047,5,0.978684,1,26.07762
132,1799,1.764923,3,0.978649,1,24.593588
133,1804,3.401001,5,0.978589,1,23.68745
134,1807,1.602273,3,0.978554,1,22.568713
135,1810,1.958373,3,0.978518,1,25.824418
136,1820,7.163119,10,0.978399,1,23.508403
137,1850,22.184641,30,0.978043,0,22.533349
138,1880,22.461992,30,0.977687,0,23.0
139,1896,12.084256,16,0.977497,1,24.499481
140,1902,3.731796,6,0.977426,1,22.116032
141,1911,6.272213,9,0.977319,1,22.999085
142,1938,18.435091,27,0.976998,1,21.175299
143,1941,1.764923,3,0.976962,1,23.347427
144,1959,11.766394,18,0.976749,1,20.188487
145,1977,12.240451,18,0.976535,1,21.677299
146,1982,4.191307,5,0.976476,1,29.393913
147,2012,24.267036,30,0.976119,0,24.672536
148,2016,2.757291,4,0.976072,1,25.309394
149,2027,9.159115,11,0.975941,1,26.931304
150,2045,14.684202,18,0.975727,1,25.902451
151,2047,0.989385,2,0.975704,1,25.866558
152,2053,4.399145,6,0.975633,1,24.451061
153,2071,13.015078,18,0.975419,1,23.191607
154,2076,3.393526,5,0.975359,1,22.921938
155,2081,3.957206,5,0.9753,1,28.043353
156,2088,4.532949,7,0.975217,1,22.358105
157,2110,14.954872,22,0.974956,1,20.931431
158,2136,17.458349,26,0.974647,1,20.441855
159,2140,2.399329,4,0.974599,1,22.881433
160,2170,24.018319,30,0.974243,0,24.334137
161,2200,22.186839,30,0.973887,0,22.366516
162,2216,11.770302,16,0.973697,1,23.130777
163,2220,2.566059,4,0.973649,1,23.76057
164,2224,2.403409,4,0.973602,1,23.492716
165,2232,6.481774,8,0.973507,1,27.371291
166,2236,2.403409,4,0.973459,1,21.885074
167,2240,2.045455,4,0.973412,1,18.562926
168,2248,5.243319,8,0.973317,1,21.472606
169,2253,3.362751,5,0.973257,1,23.22102
170,2283,21.085444,30,0.972901,0,21.034323
171,2292,7.790695,9,0.972794,1,28.18949
172,2305,9.68751,13,0.97264,1,23.544126
173,2335,24.840314,30,0.972284,0,25.534155
174,2365,25.22234,30,0.971928,0,25.465654
175,2373,5.362238,8,0.971832,1,22.19424
176,2384,9.155404,11,0.971702,1,26.728887
177,2392,6.203354,8,0.971607,1,25.963485
178,2404,9.751823,12,0.971464,1,26.084399
179,2414,8.557878,10,0.971346,1,27.509248
180,2444,22.779234,30,0.970989,0,23.367514
181,2459,12.602244,15,0.970811,1,27.014435
182,2472,11.193276,13,0.970657,1,27.261732
183,2484,10.160037,12,0.970514,1,26.917733
184,2491,5.957163,7,0.970431,1,27.57351
185,2498,4.565946,7,0.970348,1,21.683998
186,2501,1.795329,3,0.970313,1,25.588412
187,2510,7.394027,9,0.970206,1,27.441063
188,2513,1.997461,3,0.97017,1,27.330748
189,2517,2.957371,4,0.970122,1,26.272804
190,2526,7.760149,9,0.970016,1,28.053141
191,2540,11.597551,14,0.969849,1,26.385413
192,2570,23.987136,30,0.969493,0,24.339203
193,2575,3.364988,5,0.969434,1,23.588191
194,2589,10.847859,14,0.969267,1,24.914029
195,2594,3.520743,5,0.969208,1,26.023582
196,2597,1.480736,3,0.969172,1,19.756899
197,2603,4.923188,6,0.969101,1,28.352557
198,2608,3.875595,5,0.969042,1,27.794919
199,2626,14.486787,18,0.968828,1,25.624675
200,2642,11.348339,16,0.968638,1,22.623593
201,2649,4.998436,7,0.968555,1,24.19953
202,2668,14.845701,19,0.968329,1,24.293363
203,2677,5.869804,9,0.968222,1,21.595144
204,2703,18.426577,26,0.967914,1,21.926301
205,2733,21.292247,30,0.967557,0,21.333505
206,2753,13.505311,20,0.96732,1,20.841489
207,2757,2.60128,4,0.967272,1,23.360793
208,2773,12.131158,16,0.967082,1,24.373495
209,2782,7.357934,9,0.966976,1,26.942027
210,2791,7.361734,9,0.966869,1,26.243094
211,2805,9.749807,14,0.966703,1,22.743493
212,2808,2.052301,3,0.966667,1,27.787257
213,2811,1.958373,3,0.966631,1,26.738356
214,2823,8.374283,12,0.966489,1,22.711545
215,2853,22.984817,30,0.966132,0,23.196009
216,2872,13.979123,19,0.965907,1,23.826549
217,2880,6.786989,8,0.965812,1,27.310805
218,2887,5.196495,7,0.965729,1,24.782551
219,2908,14.085425,21,0.965479,1,20.528007
220,2916,6.554028,8,0.965384,1,26.509771
221,2946,20.859007,30,0.965028,0,20.672537
222,2959,9.724858,13,0.964874,1,24.131385
223,2989,24.067433,30,0.964518,0,24.528624
224,3019,22.035244,30,0.964161,0,22.027679
225,3023,2.164773,4,0.964114,1,19.018334
226,3026,1.600054,3,0.964078,1,19.909159
227,3039,9.855741,13,0.963924,1,25.259049
228,3059,16.20923,20,0.963686,1,25.296199
229,3089,20.454545,30,0.96333,0,20.034352
230,3097,6.39233,8,0.963235,1,25.751254
231,3117,14.940579,20,0.962997,1,23.623876
232,3126,7.553776,9,0.962891,1,27.497585
233,3146,16.167498,20,0.962653,1,25.317086
234,3156,6.804457,10,0.962534,1,21.677942
235,3168,9.798604,12,0.962392,1,26.11969
236,3198,21.365038,30,0.962036,0,21.367514
237,3210,8.848675,12,0.961893,1,23.583643
238,3235,17.840995,25,0.961596,1,22.529065
239,3238,1.655784,3,0.961561,1,24.46733
240,3243,3.593243,5,0.961501,1,24.696993
241,3256,10.115732,13,0.961347,1,24.815406
242,3272,12.568896,16,0.961157,1,25.230037
243,3278,4.520439,6,0.961086,1,26.686308
244,3288,7.202041,10,0.960967,1,24.042402
245,3306,13.689774,18,0.960753,1,23.632698
246,3330,20.692982,24,0.960468,1,27.216665
247,3360,21.409402,30,0.960112,0,21.505842
248,3376,12.452029,16,0.959922,1,24.840871
249,3381,3.597471,5,0.959862,1,26.398449
250,3389,6.201533,8,0.959767,1,24.968279
251,3413,17.831467,24,0.959483,1,23.265082
252,3443,20.913739,30,0.959126,0,20.866853
253,3466,20.198206,23,0.958853,1,27.323317
254,3473,5.561417,7,0.95877,1,27.172616
255,3476,1.602273,3,0.958734,1,21.465249
256,3485,7.75672,9,0.958627,1,27.557175
257,3493,6.955048,8,0.958533,1,27.876822
258,3507,10.146857,14,0.958366,1,23.814008
259,3518,7.808465,11,0.958236,1,23.088679
260,3548,22.360424,30,0.957879,0,22.327664
261,3578,23.743955,30,0.957523,0,23.971489
262,3585,5.007427,7,0.95744,1,24.462487
263,3595,7.047755,10,0.957321,1,22.872213
264,3607,9.606271,12,0.957179,1,25.751459
265,3612,3.080801,5,0.957119,1,21.679822
266,3633,15.47386,21,0.95687,1,23.189027
267,3648,12.158552,15,0.956692,1,25.775753
268,3662,10.612597,14,0.956526,1,24.303959
269,3692,24.155566,30,0.956169,0,24.695149
270,3703,9.752643,11,0.956039,1,28.190244
271,3712,7.200391,9,0.955932,1,25.937365
272,3721,6.647907,9,0.955825,1,24.491544
273,3725,2.398927,4,0.955777,1,21.129002
274,3729,2.131758,4,0.95573,1,19.1582
275,3735,4.163499,6,0.955659,1,24.173713
276,3760,21.554485,25,0.955362,1,26.615546
277,3776,13.362424,16,0.955172,1,26.887926
278,3806,23.1489,30,0.954816,0,23.201018
279,3819,8.653153,13,0.954661,1,21.168882
280,3849,23.311861,30,0.954305,0,23.53352
281,3853,2.396743,4,0.954257,1,22.109008
282,3860,5.165924,7,0.954174,1,25.006214
283,3872,9.20311,12,0.954032,1,24.795028
284,3876,2.568289,4,0.953984,1,23.76057
285,3890,9.97503,14,0.953818,1,22.78391
286,3903,10.408024,13,0.953664,1,25.544474
287,3926,18.888555,23,0.953391,1,25.368975
288,3945,15.815122,19,0.953165,1,26.379206
289,3953,6.754883,8,0.95307,1,27.251821
290,3964,8.771088,11,0.952939,1,26.373176
291,3970,4.210346,6,0.952868,1,24.799484
292,3975,3.197865,5,0.952809,1,22.959544
293,3990,10.264898,15,0.952631,1,21.668911
294,3997,5.56132,7,0.952547,1,26.782589
295,4001,2.955789,4,0.9525,1,26.869353
296,4015,11.605219,14,0.952334,1,26.605231
297,4027,7.703404,12,0.952191,1,19.980812
298,4035,4.977385,8,0.952096,1,20.74661
299,4059,17.159218,24,0.951811,1,22.640318
300,4069,7.121107,10,0.951693,1,23.254903
301,4076,5.557235,7,0.951609,1,26.441777
302,4106,22.281292,30,0.951253,0,22.366853
303,4110,2.959217,4,0.951206,1,25.096341
304,4140,22.233383,30,0.950849,0,22.367514
305,4147,5.403206,7,0.950766,1,25.774981
306,4154,4.691074,7,0.950683,1,23.088651
307,4162,5.206319,8,0.950588,1,21.692063
308,4165,1.767153,3,0.950553,1,22.035033
309,4195,22.828138,30,0.950196,0,22.867685
310,4225,21.410527,30,0.94984,0,21.534351
311,4255,21.76166,30,0.949484,0,21.665864
312,4266,8.407614,11,0.949353,1,24.965617
313,4275,6.755877,9,0.949246,1,24.485484
314,4305,23.957515,30,0.94889,0,24.339169
315,4320,11.204645,15,0.948712,1,23.961893
316,4334,12.254573,14,0.948546,1,28.097183
317,4344,7.090767,10,0.948427,1,23.503392
318,4351,4.287582,7,0.948344,1,20.623182
319,4357,4.565278,6,0.948272,1,26.035217
320,4367,7.761597,10,0.948154,1,25.559489
321,4380,10.016467,13,0.947999,1,25.290864
322,4383,1.598207,3,0.947964,1,22.175244
323,4388,3.758123,5,0.947904,1,26.018243
324,4400,8.404488,12,0.947762,1,22.475689
325,4412,9.651459,12,0.947619,1,25.699643
326,4425,8.857937,13,0.947465,1,21.802109
327,4450,19.732516,25,0.947168,1,24.449774
328,4457,5.165669,7,0.947085,1,25.172127
329,4466,7.58947,9,0.946978,1,27.970473
330,4470,2.403409,4,0.946931,1,21.895937
331,4488,12.620322,18,0.946717,1,22.058951
332,4504,12.685888,16,0.946527,1,25.315127
333,4534,21.44275,30,0.946171,0,21.300156
334,4537,1.960209,3,0.946135,1,25.028024
335,4559,18.325519,22,0.945874,1,25.886946
336,4567,5.493422,8,0.945779,1,23.643304
337,4578,8.446321,11,0.945648,1,25.038624
338,4586,6.758309,8,0.945553,1,27.97504
339,4589,1.597429,3,0.945518,1,20.274935
340,4596,5.756075,7,0.945434,1,27.685759
341,4608,8.612609,12,0.945292,1,22.670742
342,4615,4.442926,7,0.945209,1,20.86637
343,4621,4.166119,6,0.945137,1,24.796794
344,4632,7.60853,11,0.945007,1,22.672338
345,4638,4.559649,6,0.944936,1,25.848536
346,4652,11.447169,14,0.944769,1,26.569294
347,4657,2.973814,5,0.94471,1,22.667423
348,4681,17.383639,24,0.944425,1,22.503801
349,4685,2.566059,4,0.944377,1,23.209952
350,4715,22.114789,30,0.944021,0,22.201018
351,4745,23.905042,30,0.943665,0,23.799148
352,4766,16.727263,21,0.943416,1,24.860868
353,4769,1.597429,3,0.94338,1,20.065242
354,4789,13.703427,20,0.943142,1,20.838969
355,4797,6.157847,8,0.943048,1,25.376554
356,4805,6.005511,8,0.942952,1,25.053091
357,4820,11.56644,15,0.942774,1,24.769685
358,4829,7.187751,9,0.942667,1,26.854369
359,4834,3.25093,5,0.942608,1,22.679092
360,4844,8.295355,10,0.942489,1,27.336056
361,4874,21.528506,30,0.942133,0,21.672366
362,4886,8.572305,12,0.941991,1,23.336853
363,4916,24.394439,30,0.941634,0,24.633319
364,4946,21.612624,30,0.941278,0,21.534351
365,4969,16.229737,23,0.941005,1,21.996677
366,4972,1.801147,3,0.940969,1,25.700946
367,4986,10.301309,14,0.940803,1,24.52381
368,5016,23.550858,30,0.940447,0,23.971519
369,5023,5.758314,7,0.940364,1,27.320616
370,5034,8.564074,11,0.940233,1,25.360279
371,5039,3.879671,5,0.940174,1,27.794919
372,5049,6.974338,10,0.940055,1,22.610221
373,5065,10.776979,16,0.939865,1,21.096249
374,5074,6.00326,9,0.939758,1,21.841585
375,5077,1.764923,3,0.939723,1,23.347427
376,5080,1.960209,3,0.939687,1,24.021175
377,5088,6.718989,8,0.939592,1,28.13785
378,5093,3.314962,5,0.939532,1,25.0
379,5114,15.354267,21,0.939283,1,23.213209
380,5142,20.508701,28,0.938951,1,22.503308
381,5152,7.566277,10,0.938832,1,25.004942
382,5171,13.935,19,0.938606,1,22.790128
383,5190,15.322565,19,0.938381,1,25.268034
384,5198,6.358375,8,0.938286,1,25.673512
385,5217,14.96202,19,0.93806,1,24.800075
386,5234,11.938476,17,0.937858,1,22.355414
387,5252,11.795562,18,0.937644,1,20.187209
388,5257,3.796,5,0.937585,1,27.394669
389,5284,20.738659,27,0.937264,1,23.902568
390,5288,2.959217,4,0.937217,1,26.272804
391,5301,9.207651,13,0.937063,1,22.787491
392,5306,3.604004,5,0.937003,1,26.419921
393,5324,12.225962,18,0.936789,1,21.098074
394,5338,9.698682,14,0.936623,1,22.145262
395,5367,23.26565,29,0.936279,1,25.273466
396,5371,2.453813,4,0.936231,1,24.280434
397,5400,22.610844,29,0.935887,1,24.151219
398,5411,9.599226,11,0.935756,1,27.766275
399,5417,4.752443,6,0.935685,1,27.300038
400,5424,4.855106,7,0.935602,1,23.480437
401,5431,5.557243,7,0.935519,1,26.441777
402,5437,4.955581,6,0.935447,1,27.707386
403,5441,2.566059,4,0.9354,1,22.669282
404,5457,12.684221,16,0.93521,1,25.094137
405,5465,6.191483,8,0.935115,1,26.496668
406,5469,2.398565,4,0.935068,1,22.16414
407,5474,3.754684,5,0.935008,1,26.495482
408,5483,6.015104,9,0.934901,1,22.389585
409,5491,6.756451,8,0.934806,1,27.37722
410,5494,1.767153,3,0.934771,1,24.593588
411,5524,22.631755,30,0.934414,1,23.206229
412,5530,5.052264,6,0.934343,1,28.893428
413,5544,10.347068,14,0.934177,1,24.523808
414,5560,13.40565,16,0.933987,1,26.717382
415,5581,14.880658,21,0.933737,1,22.777782
416,5587,3.884128,6,0.933666,1,21.854087
417,5601,9.529659,14,0.9335,1,22.142868
418,5628,20.088337,27,0.933179,1,23.397573
419,5643,9.859194,15,0.933001,1,20.501983
420,5673,22.757349,30,0.932645,0,23.367681
421,5692,14.218284,19,0.932419,1,23.425929
422,5695,2.077297,3,0.932384,1,27.999848
423,5697,1.278391,2,0.93236,1,29.499772
424,5709,9.3379,12,0.932218,1,25.00772
425,5715,3.773015,6,0.932146,1,21.866332
426,5732,14.196209,17,0.931944,1,26.325903
427,5744,8.412238,12,0.931802,1,22.781221
428,5758,10.949668,14,0.931636,1,25.123892
429,5768,6.538794,10,0.931517,1,21.339424
